eta,ns
2.864321608040201056e-02,9.713567839195980103e-01
2.884422110552763846e-02,9.711557788944723546e-01
2.904522613065326636e-02,9.709547738693466989e-01
2.924623115577889426e-02,9.707537688442211543e-01
2.944723618090452216e-02,9.705527638190954987e-01
2.964824120603015006e-02,9.703517587939698430e-01
2.984924623115577796e-02,9.701507537688441873e-01
3.005025125628140586e-02,9.699497487437186427e-01
3.025125628140703377e-02,9.697487437185929871e-01
3.045226130653266167e-02,9.695477386934673314e-01
3.065326633165828957e-02,9.693467336683416757e-01
3.085427135678391747e-02,9.691457286432161311e-01
3.105527638190954537e-02,9.689447236180904754e-01
3.125628140703517327e-02,9.687437185929648198e-01
3.145728643216080117e-02,9.685427135678391641e-01
3.165829145728642907e-02,9.683417085427136195e-01
3.185929648241205697e-02,9.681407035175879638e-01
3.206030150753769181e-02,9.679396984924623082e-01
3.226130653266331971e-02,9.677386934673366525e-01
3.246231155778894761e-02,9.675376884422111079e-01
3.266331658291457551e-02,9.673366834170854522e-01
3.286432160804020342e-02,9.671356783919597966e-01
3.306532663316583132e-02,9.669346733668341409e-01
3.326633165829145922e-02,9.667336683417084853e-01
3.346733668341708712e-02,9.665326633165829406e-01
3.366834170854271502e-02,9.663316582914572850e-01
3.386934673366834292e-02,9.661306532663316293e-01
3.407035175879397082e-02,9.659296482412060847e-01
3.427135678391959872e-02,9.657286432160804290e-01
3.447236180904522662e-02,9.655276381909547734e-01
3.467336683417085452e-02,9.653266331658291177e-01
3.487437185929648242e-02,9.651256281407034621e-01
3.507537688442211032e-02,9.649246231155779174e-01
3.527638190954773822e-02,9.647236180904522618e-01
3.547738693467336613e-02,9.645226130653266061e-01
3.567839195979899403e-02,9.643216080402010615e-01
3.587939698492462193e-02,9.641206030150754058e-01
3.608040201005024983e-02,9.639195979899497502e-01
3.628140703517587773e-02,9.637185929648240945e-01
3.648241206030150563e-02,9.635175879396984389e-01
3.668341708542713353e-02,9.633165829145728942e-01
3.688442211055276143e-02,9.631155778894472386e-01
3.708542713567838933e-02,9.629145728643215829e-01
3.728643216080401723e-02,9.627135678391960383e-01
3.748743718592964513e-02,9.625125628140703826e-01
3.768844221105527303e-02,9.623115577889447270e-01
3.788944723618090094e-02,9.621105527638190713e-01
3.809045226130652884e-02,9.619095477386934157e-01
3.829145728643215674e-02,9.617085427135678710e-01
3.849246231155778464e-02,9.615075376884422154e-01
3.869346733668341254e-02,9.613065326633165597e-01
3.889447236180904044e-02,9.611055276381910151e-01
3.909547738693466834e-02,9.609045226130653594e-01
3.929648241206029624e-02,9.607035175879397038e-01
3.949748743718592414e-02,9.605025125628140481e-01
3.969849246231155204e-02,9.603015075376883924e-01
