k_Mpc_inv,fNL_iso,fNL_aniso_envelope
6.451828352204590544e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.808557222172046863e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.185010033900093163e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.582277346385576777e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.001510016862880548e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.443922534761529164e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.910796540002066024e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.403484535822447299e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.923413806890872024e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.047209055405541136e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.105110425770865419e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.166213228240770121e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.230694473608878070e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.298740959795337631e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.370549812988079736e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.446329058704415900e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.526298224427247305e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.610688975561723453e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.699745786554661322e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.793726649120911816e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.892903819628362783e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.997564607806702952e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.108012209064785338e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.224566582827737591e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.347565379438364630e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.477364918307931418e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.614341220150030836e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.758891096287818527e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.911433298190278833e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.072409730567642896e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.242286731540224309e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.421556423589236147e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.610738139203203900e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.810379925349947712e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.021060131132588253e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.243389083228771597e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.478010853966854370e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.725605127161014138e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.986889167110481935e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.262619896466968612e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.553596088989727377e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.860660683540522768e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.184703226021939599e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.526662446333336902e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.887528977809474782e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.268348227020046579e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.670223402243640294e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.094318709389451669e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.541862724625106011e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.014151953480890143e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.512554586740861851e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.003851446400144368e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.059355525637954315e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.117928488048752342e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.179740015646163101e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.244969172353816703e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.313804922741740938e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.386446679444271240e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.463104880845316984e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.544001600704496923e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.629371191490194860e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.719460963283209367e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.814531900217786870e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.914859416535451601e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.020734154441925966e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.132462826078452053e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.250369102046662647e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.374794549060989993e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.506099619444939890e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.644664695337723970e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.790891190636270039e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.945202713864812267e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.108046295340915094e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.279893682192834149e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.461242704979874816e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.652618719874728868e+03,0.000000000000000000e+00,0.000000000000000000e+00
3.854576130585698593e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.067699994427719048e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.292607717194858196e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.529950841744241188e+03,0.000000000000000000e+00,0.000000000000000000e+00
4.780416935472748264e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.044731582154528951e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.323660483909357026e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.618011679391242978e+03,0.000000000000000000e+00,0.000000000000000000e+00
5.928637884623185528e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.256438963259316552e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.602364533430629308e+03,0.000000000000000000e+00,0.000000000000000000e+00
6.967416718726147337e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.352653051278950443e+03,0.000000000000000000e+00,0.000000000000000000e+00
7.759189535367110693e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.188203880404507800e+03,0.000000000000000000e+00,0.000000000000000000e+00
8.640938912687517586e+03,0.000000000000000000e+00,0.000000000000000000e+00
9.118706175780853300e+03,0.000000000000000000e+00,0.000000000000000000e+00
9.622889729972896021e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.015495016180717357e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.071642881530535669e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.130895225713936270e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.193423698868784777e+04,0.000000000000000000e+00,0.000000000000000000e+00
1.259409441862765743e+04,0.000000000000000000e+00,0.000000000000000000e+00
