k_Mpc_inv,fNL
8.296958520834906148e-01,0.000000000000000000e+00
8.648423275731718096e-01,0.000000000000000000e+00
9.014776314524917122e-01,0.000000000000000000e+00
9.396648314954690884e-01,0.000000000000000000e+00
9.794696670695395291e-01,0.000000000000000000e+00
1.020960662306046540e+00,0.000000000000000000e+00
1.064209244064724613e+00,0.000000000000000000e+00
1.109289864895222744e+00,0.000000000000000000e+00
1.156280131207375383e+00,0.000000000000000000e+00
1.205260936870842681e+00,0.000000000000000000e+00
1.256316602474120137e+00,0.000000000000000000e+00
1.309535020482667678e+00,0.000000000000000000e+00
1.365007806546013835e+00,0.000000000000000000e+00
1.422830457214351974e+00,0.000000000000000000e+00
1.483102514336104516e+00,0.000000000000000000e+00
1.545927736419477005e+00,0.000000000000000000e+00
1.611414277253019778e+00,0.000000000000000000e+00
1.679674872092653093e+00,0.000000000000000000e+00
1.750827031735725070e+00,0.000000000000000000e+00
1.824993244816152327e+00,0.000000000000000000e+00
1.902301188668943821e+00,0.000000000000000000e+00
1.982883949127071332e+00,0.000000000000000000e+00
2.066880249629082122e+00,0.000000000000000000e+00
2.154434690031884259e+00,0.000000000000000000e+00
2.245697995539774006e+00,0.000000000000000000e+00
2.340827276178291783e+00,0.000000000000000000e+00
2.439986297259550074e+00,0.000000000000000000e+00
2.543345761304648178e+00,0.000000000000000000e+00
2.651083601908538867e+00,0.000000000000000000e+00
2.763385290053169907e+00,0.000000000000000000e+00
2.880444153396297668e+00,0.000000000000000000e+00
3.002461709085549213e+00,0.000000000000000000e+00
3.129648010670750491e+00,0.000000000000000000e+00
3.262222009711670090e+00,0.000000000000000000e+00
3.400411932703705897e+00,0.000000000000000000e+00
3.544455673970435594e+00,0.000000000000000000e+00
3.694601205199302463e+00,0.000000000000000000e+00
3.851107002325568907e+00,0.000000000000000000e+00
4.014242490499322358e+00,0.000000000000000000e+00
4.184288507901579912e+00,0.000000000000000000e+00
4.361537789208005833e+00,0.000000000000000000e+00
4.546295469532399380e+00,0.000000000000000000e+00
4.738879609717651320e+00,0.000000000000000000e+00
4.939621743878320537e+00,0.000000000000000000e+00
5.148867450137492696e+00,0.000000000000000000e+00
5.366976945540476329e+00,0.000000000000000000e+00
5.594325706169377632e+00,0.000000000000000000e+00
5.831305113526224382e+00,0.000000000000000000e+00
6.078323128297229871e+00,0.000000000000000000e+00
